Timestamp,Time,Temperature(C), Humidity(%), Moisture(%)
2025-04-08T17:21:08.884954,5:21 pm,16,64,32
2025-04-08T17:21:10.454083,5:21 pm,16,64,37
2025-04-08T17:21:12.022358,5:21 pm,16,64,34
2025-04-08T17:21:13.595731,5:21 pm,16,64,37
2025-04-08T17:21:15.157663,5:21 pm,16,64,34
2025-04-08T17:21:16.726622,5:21 pm,16,64,37
2025-04-08T17:21:18.291454,5:21 pm,16,64,35
2025-04-08T17:21:19.864188,5:21 pm,16,64,35
2025-04-08T17:21:21.443230,5:21 pm,16,64,35
2025-04-08T17:21:23.003128,5:21 pm,16,64,34
2025-04-08T17:21:24.584456,5:21 pm,16,64,37
2025-04-08T17:21:26.141204,5:21 pm,16,64,35
2025-04-08T17:21:27.712218,5:21 pm,16,64,36
2025-04-08T17:21:29.282370,5:21 pm,16,64,35
2025-04-08T17:21:30.849024,5:21 pm,16,64,35
2025-04-08T17:21:32.419767,5:21 pm,16,64,35
2025-04-08T17:21:33.996237,5:21 pm,16,64,35
2025-04-08T17:21:35.562935,5:21 pm,16,64,36
2025-04-08T17:21:37.126315,5:21 pm,16,64,34
2025-04-08T17:21:38.695844,5:21 pm,16,64,37
2025-04-08T17:21:40.265290,5:21 pm,16,64,34
2025-04-08T17:21:41.835509,5:21 pm,16,64,36
2025-04-08T17:21:43.403817,5:21 pm,16,65,34
2025-04-08T17:21:44.981881,5:21 pm,16,65,37
2025-04-08T17:21:46.542621,5:21 pm,16,65,36
2025-04-08T17:21:48.116860,5:21 pm,16,65,36
2025-04-08T17:21:49.686365,5:21 pm,16,65,35
2025-04-08T17:21:51.251190,5:21 pm,16,65,36
2025-04-08T17:21:52.828706,5:21 pm,16,65,36
2025-04-08T17:21:54.390330,5:21 pm,16,65,35
2025-04-08T17:21:55.970255,5:21 pm,16,65,35
2025-04-08T17:21:57.530680,5:21 pm,16,65,35
2025-04-08T17:21:59.092278,5:21 pm,16,65,37
2025-04-08T17:22:00.676571,5:22 pm,16,65,34
2025-04-08T17:22:02.240602,5:22 pm,16,65,37
2025-04-08T17:22:03.818301,5:22 pm,16,65,37
2025-04-08T17:22:05.385895,5:22 pm,16,65,34
2025-04-08T17:22:06.954971,5:22 pm,16,65,35
2025-04-08T17:22:08.522518,5:22 pm,16,65,37
2025-04-08T17:22:10.092010,5:22 pm,16,65,36
2025-04-08T17:22:11.662221,5:22 pm,16,65,34
2025-04-08T17:22:13.231977,5:22 pm,16,65,36
2025-04-08T17:22:14.799386,5:22 pm,16,65,36
2025-04-08T17:22:16.371919,5:22 pm,16,65,34
2025-04-08T17:22:17.939600,5:22 pm,16,65,37
2025-04-08T17:22:19.513041,5:22 pm,16,65,35
2025-04-08T17:22:21.077420,5:22 pm,16,65,36
2025-04-08T17:22:22.645777,5:22 pm,16,65,37
2025-04-08T17:22:24.219452,5:22 pm,16,65,35
2025-04-08T17:22:25.779928,5:22 pm,16,65,36
2025-04-08T17:22:27.358449,5:22 pm,16,65,35
2025-04-08T17:22:28.924714,5:22 pm,16,65,36
2025-04-08T17:22:30.497428,5:22 pm,16,65,36
2025-04-08T17:22:32.061560,5:22 pm,16,65,34
2025-04-08T17:22:33.635678,5:22 pm,16,65,38
2025-04-08T17:22:35.199577,5:22 pm,16,65,35
2025-04-08T17:22:36.765423,5:22 pm,16,65,37
2025-04-08T17:22:38.332179,5:22 pm,16,65,35
2025-04-08T17:22:39.910996,5:22 pm,16,65,35
2025-04-08T17:22:41.472653,5:22 pm,16,65,38
2025-04-08T17:22:43.045513,5:22 pm,16,65,35
2025-04-08T17:22:44.615314,5:22 pm,16,65,37
2025-04-08T17:22:46.178015,5:22 pm,16,65,36
2025-04-08T17:22:47.752869,5:22 pm,16,65,34
2025-04-08T17:22:49.321938,5:22 pm,16,65,37
2025-04-08T17:22:50.891036,5:22 pm,16,65,34
2025-04-08T17:22:52.464052,5:22 pm,16,65,38
2025-04-08T17:22:54.032504,5:22 pm,16,65,34
2025-04-08T17:22:55.606896,5:22 pm,16,65,38
2025-04-08T17:22:57.163679,5:22 pm,16,65,35
2025-04-08T17:22:58.742305,5:22 pm,16,65,36
2025-04-08T17:23:00.319660,5:23 pm,16,65,38
2025-04-08T17:23:01.879609,5:23 pm,16,65,35
2025-04-08T17:23:03.452439,5:23 pm,16,65,37
2025-04-08T17:23:05.011267,5:23 pm,16,65,38
2025-04-08T17:23:06.589251,5:23 pm,16,65,35
2025-04-08T17:23:08.166164,5:23 pm,16,65,36
2025-04-08T17:23:09.735383,5:23 pm,16,65,38
2025-04-08T17:23:11.304037,5:23 pm,16,65,36
2025-04-08T17:23:12.872709,5:23 pm,16,65,36
2025-04-08T17:23:14.445567,5:23 pm,16,65,39
2025-04-08T17:23:16.014329,5:23 pm,16,65,36
2025-04-08T17:23:17.576200,5:23 pm,16,65,37
2025-04-08T17:23:19.143386,5:23 pm,16,65,39
2025-04-08T17:23:20.720458,5:23 pm,16,65,35
2025-04-08T17:23:22.284380,5:23 pm,16,65,39
2025-04-08T17:23:23.858071,5:23 pm,16,65,35
2025-04-08T17:23:25.421646,5:23 pm,16,65,40
2025-04-08T17:23:26.992421,5:23 pm,16,65,36
2025-04-08T17:23:28.568411,5:23 pm,16,65,39
2025-04-08T17:23:30.128738,5:23 pm,16,65,36
2025-04-08T17:23:31.707738,5:23 pm,16,65,38
2025-04-08T17:23:33.268596,5:23 pm,16,65,36
2025-04-08T17:23:34.845936,5:23 pm,16,65,39
2025-04-08T17:23:36.415761,5:23 pm,16,65,37
2025-04-08T17:23:37.975670,5:23 pm,16,65,38
2025-04-08T17:23:39.553486,5:23 pm,16,65,37
2025-04-08T17:23:41.111970,5:23 pm,16,65,38
2025-04-08T17:23:42.694731,5:23 pm,16,65,36
2025-04-08T17:23:44.263292,5:23 pm,16,65,40
2025-04-08T17:23:45.826304,5:23 pm,16,65,36
2025-04-08T17:23:47.391564,5:23 pm,16,65,39
2025-04-08T17:23:48.964276,5:23 pm,16,65,36
2025-04-08T17:23:50.532234,5:23 pm,16,65,39
2025-04-08T17:23:52.104999,5:23 pm,16,65,36
2025-04-08T17:23:53.670970,5:23 pm,16,65,40
2025-04-08T17:23:55.251467,5:23 pm,16,65,37
2025-04-08T17:23:56.817456,5:23 pm,16,65,38
2025-04-08T17:23:58.389564,5:23 pm,16,65,40
2025-04-08T17:23:59.958378,5:23 pm,16,65,36
2025-04-08T17:24:01.511605,5:24 pm,16,65,38
2025-04-08T17:24:03.099559,5:24 pm,16,65,39
2025-04-08T17:24:04.668430,5:24 pm,16,65,36
2025-04-08T17:24:06.236822,5:24 pm,16,65,38
2025-04-08T17:24:07.804205,5:24 pm,16,65,40
2025-04-08T17:24:09.373322,5:24 pm,16,65,36
2025-04-08T17:24:10.947547,5:24 pm,16,65,38
2025-04-08T17:24:12.510707,5:24 pm,16,65,39
2025-04-08T17:24:14.079802,5:24 pm,16,65,37
2025-04-08T17:24:15.649939,5:24 pm,16,65,38
2025-04-08T17:24:17.222122,5:24 pm,16,65,39
2025-04-08T17:24:18.787747,5:24 pm,16,65,37
2025-04-08T17:24:20.357536,5:24 pm,16,65,40
2025-04-08T17:24:21.931698,5:24 pm,16,65,36
2025-04-08T17:24:23.488696,5:24 pm,16,65,40
2025-04-08T17:24:25.071838,5:24 pm,16,65,37
2025-04-08T17:24:26.641788,5:24 pm,16,65,40
2025-04-08T17:24:28.209580,5:24 pm,16,65,37
2025-04-08T17:24:29.771919,5:24 pm,16,65,39
2025-04-08T17:24:31.343833,5:24 pm,16,65,37
2025-04-08T17:24:32.909847,5:24 pm,16,65,40
2025-04-08T17:24:34.487742,5:24 pm,16,65,36
2025-04-08T17:24:36.057418,5:24 pm,16,65,40
2025-04-08T17:24:37.626310,5:24 pm,16,65,37
2025-04-08T17:24:39.195111,5:24 pm,16,65,40
2025-04-08T17:24:40.764155,5:24 pm,16,65,37
2025-04-08T17:24:42.336039,5:24 pm,16,66,40
2025-04-08T17:24:43.905775,5:24 pm,16,66,37
2025-04-08T17:24:45.474304,5:24 pm,16,66,41
2025-04-08T17:24:47.043724,5:24 pm,16,66,37
2025-04-08T17:24:48.611850,5:24 pm,16,66,39
2025-04-08T17:24:50.184922,5:24 pm,16,66,41
2025-04-08T17:24:51.751639,5:24 pm,16,66,37
2025-04-08T17:24:53.318281,5:24 pm,16,66,39
2025-04-08T17:24:54.890563,5:24 pm,16,66,40
2025-04-08T17:24:56.459301,5:24 pm,16,66,38
